atp1 atp2 c12                    c12_45                 old_rc12               source
O    O    7.703205086354507e-07  5.801734210627211e-07  2.6316023410103466e-07 #atdhisto_c12
O    OM   6.381454827742098e-07  3.2228956345557457e-07 2.13025432443863e-07   #atdhisto_c12
O    OA   5.1110687858211906e-08 2.9137432184408464e-07 3.6340510035416444e-07 #atdhisto_c12
O    N    1.0115434594394737e-07 3.9332116172143173e-07 4.799376617607296e-07  #atdhisto_c12
O    NT   1.1292692029579082e-07 5.801734210627211e-07  8.265637568519653e-07  #atdhisto_c12
O    NL   6.444980961093803e-08  5.742618275042624e-08  4.799376617607296e-07  #atdhisto_c12
O    NR   1.2594349761073345e-07 5.27066068361103e-07   6.296055527893412e-07  #atdhisto_c12
O    NZ   8.091373121174105e-08  0.0                    4.799376617607296e-07  #atdhisto_c12
O    NE   1.2594349761073345e-07 0.0                    4.799376617607296e-07  #atdhisto_c12
O    C    2.064082678151929e-06  1.5619221473243766e-07 8.269390364517911e-07  #atdhisto_c12
O    CR   1.7356754565546296e-06 7.013840414318058e-07  8.269390364517911e-07  #atdhisto_c12
O    CS   7.013840414318058e-07  4.339756224213911e-07  8.269390364517911e-07  #atdhisto_c12
O    CZ   8.454178454694858e-07  0.0                    8.269390364517911e-07  #atdhisto_c12
O    CH   9.271725969950735e-07  7.703205086354507e-07  8.269390364517911e-07  #atdhisto_c12
O    CH1  1.4558184529108867e-06 1.59011205135462e-06   4.153527511548878e-06  #atdhisto_c12
O    CH1t 1.0161170406288952e-06 2.064082678151929e-06  4.153527511548878e-06  #atdhisto_c12
O    CAH  1.3319957855440268e-06 1.110557678004124e-05  4.153527511548878e-06  #atdhisto_c12
O    CH2  8.454178454694858e-07  8.454178454694858e-07  2.015648815722931e-06  #atdhisto_c12
O    CAH2 6.381454827742098e-07  1.4922176228398963e-05 2.015648815722931e-06  #atdhisto_c12
O    CH3  1.1128214538294811e-06 5.27066068361103e-07   1.503991708701826e-06  #atdhisto_c12
O    CH2r 9.271725969950735e-07  1.2178965067259558e-06 1.7725675979630829e-06 #atdhisto_c12
O    S    8.466821298334225e-07  0.0                    8.466821298334225e-07  #rc12
O    SM   1.8933619871479337e-06 1.0161170406288952e-06 8.466821298334225e-07  #atdhisto_c12
O    SH   8.454178454694858e-07  1.0161170406288952e-06 8.466821298334225e-07  #atdhisto_c12
O    H    4.826394797699592e-10  1.003911895429072e-08  1.5516445117711974e-08 #atdhisto_c12
OM   OM   3.9332116172143173e-07 1.5619221473243766e-07 1.7244183956179423e-07 #atdhisto_c12
OM   OA   2.4782805153887164e-08 6.444980961093803e-08  2.941725938179918e-07  #atdhisto_c12
OM   N    9.05167362258012e-08   1.2594349761073345e-07 3.885044725390518e-07  #atdhisto_c12
OM   NT   8.091373121174105e-08  1.2594349761073345e-07 6.690946386611443e-07  #atdhisto_c12
OM   NL   4.543781405690857e-08  7.225302986991769e-08  3.885044725390518e-07  #atdhisto_c12
OM   NR   5.1110687858211906e-08 4.0347556423138064e-08 5.096590509207162e-07  #atdhisto_c12
OM   NZ   5.1110687858211906e-08 0.0                    3.885044725390518e-07  #atdhisto_c12
OM   NE   6.444980961093803e-08  0.0                    3.885044725390518e-07  #atdhisto_c12
OM   C    1.59011205135462e-06   1.736919907132888e-07  6.693984235369761e-07  #atdhisto_c12
OM   CR   1.4558184529108867e-06 1.403224553969159e-07  6.693984235369761e-07  #atdhisto_c12
OM   CS   9.271725969950735e-07  1.0115434594394737e-07 6.693984235369761e-07  #atdhisto_c12
OM   CZ   7.013840414318058e-07  0.0                    6.693984235369761e-07  #atdhisto_c12
OM   CH   7.013840414318058e-07  9.05167362258012e-08   6.693984235369761e-07  #atdhisto_c12
OM   CH1  2.448580108078591e-06  1.3319957855440268e-06 3.3622366895124407e-06 #atdhisto_c12
OM   CH1t 7.703205086354507e-07  0.0                    3.3622366895124407e-06 #atdhisto_c12
OM   CAH  1.59011205135462e-06   7.013840414318058e-07  3.3622366895124407e-06 #atdhisto_c12
OM   CH2  8.454178454694858e-07  1.5619221473243766e-07 1.6316464457144573e-06 #atdhisto_c12
OM   CAH2 7.013840414318058e-07  1.2884910181278791e-05 1.6316464457144573e-06 #atdhisto_c12
OM   CH3  1.1128214538294811e-06 4.543781405690857e-08  1.2174654169641174e-06 #atdhisto_c12
OM   CH2r 8.454178454694858e-07  1.3319957855440268e-06 1.4348747651101918e-06 #atdhisto_c12
OM   S    6.853802492857207e-07  0.0                    6.853802492857207e-07  #rc12
